Date,Price
14-Mar-19,3948.5
13-Mar-19,3947.9
12-Mar-19,3954.1
11-Mar-19,3949
10-Mar-19,4000
09-Mar-19,4017.33
08-Mar-19,3940.5
07-Mar-19,3964.7
06-Mar-19,3951.4
05-Mar-19,3951.6
04-Mar-19,3800
03-Mar-19,3884.8
02-Mar-19,3913
01-Mar-19,3914
28-Feb-19,3894
27-Feb-19,3902.7
26-Feb-19,3896.8
25-Feb-19,3921.8
24-Feb-19,3832
23-Feb-19,4211.7
22-Feb-19,4058.3
21-Feb-19,4008.8
20-Feb-19,4055
19-Feb-19,3989.9
18-Feb-19,3978.1
17-Feb-19,3734.5
16-Feb-19,3676.45
15-Feb-19,3670
14-Feb-19,3656.7
13-Feb-19,3666.1
12-Feb-19,3694.2
11-Feb-19,3681.08
10-Feb-19,3746.3
09-Feb-19,3718.4
08-Feb-19,3724
07-Feb-19,3436.1
06-Feb-19,3452
05-Feb-19,3512.6
04-Feb-19,3490.47
03-Feb-19,3501.7
02-Feb-19,3564.3
01-Feb-19,3536.2
31-Jan-19,3501.1
30-Jan-19,3529.6
29-Jan-19,3477.9
28-Jan-19,3501.89
27-Jan-19,3597.1
26-Jan-19,3630.7
25-Jan-19,3628.9
24-Jan-19,3652.6
23-Jan-19,3619.91
22-Jan-19,3639.1
21-Jan-19,3579.4
20-Jan-19,3586.1
19-Jan-19,3762.3
18-Jan-19,3675.7
17-Jan-19,3723
16-Jan-19,3671.2
15-Jan-19,3656.5
14-Jan-19,3749.3
13-Jan-19,3591
12-Jan-19,3702
11-Jan-19,3716.1
10-Jan-19,3712.8
09-Jan-19,4083.2
08-Jan-19,4100
07-Jan-19,4113.9
06-Jan-19,4171.5
05-Jan-19,3911
04-Jan-19,3954.9
03-Jan-19,3923.2
02-Jan-19,4048.5
01-Jan-19,3963.05
31-Dec-18,3830.5
30-Dec-18,3978.3
29-Dec-18,3887
28-Dec-18,4036.7
27-Dec-18,3714.7
26-Dec-18,3929.8
25-Dec-18,3909.7
24-Dec-18,4145.2
23-Dec-18,4075.7
22-Dec-18,4135
21-Dec-18,3976.1
20-Dec-18,4214.5
19-Dec-18,3810
18-Dec-18,3780.1
17-Dec-18,3625.1
16-Dec-18,3299.9
15-Dec-18,3285.1
14-Dec-18,3282.8
13-Dec-18,3354.4
12-Dec-18,3535.6
11-Dec-18,3435.29
10-Dec-18,3524.9
09-Dec-18,3639.6
08-Dec-18,3506
07-Dec-18,3460
06-Dec-18,3531.3
05-Dec-18,3765.3
04-Dec-18,3981.9
03-Dec-18,3901.2
02-Dec-18,4159.7
01-Dec-18,4243
30-Nov-18,4038.3
29-Nov-18,4312.9
28-Nov-18,4306.34
27-Nov-18,3884.4
26-Nov-18,3858
25-Nov-18,4087.8
24-Nov-18,3929.8
23-Nov-18,4422.7
22-Nov-18,4392.4
21-Nov-18,4666.6
20-Nov-18,4600.1
19-Nov-18,4938.1
18-Nov-18,5659.4
17-Nov-18,5626.7
16-Nov-18,5660.5
15-Nov-18,5753.4
14-Nov-18,5884.6
13-Nov-18,6464.4
12-Nov-18,6446.9
11-Nov-18,6450
10-Nov-18,6431.1
09-Nov-18,6420.2
08-Nov-18,6479.6
07-Nov-18,6572.7
06-Nov-18,6515.2
05-Nov-18,6470.1
04-Nov-18,6485.2
03-Nov-18,6387.88
02-Nov-18,6426.9
01-Nov-18,6399.7
31-Oct-18,6368.39
30-Oct-18,6330.1
29-Oct-18,6344
28-Oct-18,6490.1
27-Oct-18,6500.2
26-Oct-18,6531.5
25-Oct-18,6528.1
24-Oct-18,6554.1
23-Oct-18,6550
22-Oct-18,6567.22
21-Oct-18,6591.6
20-Oct-18,6586.7
19-Oct-18,6527.3
18-Oct-18,6613
17-Oct-18,6737.1
16-Oct-18,6754.1
15-Oct-18,6742
14-Oct-18,6335.2
13-Oct-18,6326.5
12-Oct-18,6293.2
11-Oct-18,6252
10-Oct-18,6630.2
09-Oct-18,6663
08-Oct-18,6673.2
07-Oct-18,6601
06-Oct-18,6592
05-Oct-18,6644.7
04-Oct-18,6580.08
03-Oct-18,6503.2
02-Oct-18,6533.3
01-Oct-18,6601.9
30-Sep-18,6618.1
29-Sep-18,6604.6
28-Sep-18,6635.1
27-Sep-18,6692.5
26-Sep-18,6462.39
25-Sep-18,6434.7
24-Sep-18,6585
23-Sep-18,6710
22-Sep-18,6723
21-Sep-18,6762.7
20-Sep-18,6500.49
19-Sep-18,6390.9
18-Sep-18,6342.76
17-Sep-18,6254.2
16-Sep-18,6498.5
15-Sep-18,6513.6
14-Sep-18,6485
13-Sep-18,6475.6
12-Sep-18,6332
11-Sep-18,6290.8
10-Sep-18,6308
09-Sep-18,6239.9
08-Sep-18,6185
07-Sep-18,6404.1
06-Sep-18,6515.6
05-Sep-18,6710.5
04-Sep-18,7358.9
03-Sep-18,7268
02-Sep-18,7290.4
01-Sep-18,7197.47
31-Aug-18,7025.9
30-Aug-18,6994.7
29-Aug-18,7045.7
28-Aug-18,7079.7
27-Aug-18,6909.5
26-Aug-18,6708.43
25-Aug-18,6732.9
24-Aug-18,6695.9
23-Aug-18,6527.2
22-Aug-18,6354.9
21-Aug-18,6479.1
20-Aug-18,6255.9
19-Aug-18,6485.13
18-Aug-18,6391.2
17-Aug-18,6583.3
16-Aug-18,6314
15-Aug-18,6270.1
14-Aug-18,6189
13-Aug-18,6251.9
12-Aug-18,6313.9
11-Aug-18,6232.7
10-Aug-18,6146.8
09-Aug-18,6529.1
08-Aug-18,6279.2
07-Aug-18,6720.5
06-Aug-18,6941.3
05-Aug-18,7025.8
04-Aug-18,7013.22
03-Aug-18,7420
02-Aug-18,7535.2
01-Aug-18,7608.8
31-Jul-18,7730.6
30-Jul-18,8179.6
29-Jul-18,8221
28-Jul-18,8246.4
27-Jul-18,8185.7
26-Jul-18,7939
25-Jul-18,8176
24-Jul-18,8394.5
23-Jul-18,7719.8
22-Jul-18,7400.5
21-Jul-18,7403.3
20-Jul-18,7333.1
19-Jul-18,7473.5
18-Jul-18,7379.4
17-Jul-18,7319.8
16-Jul-18,6729.2
15-Jul-18,6347.2
14-Jul-18,6250.1
13-Jul-18,6220
12-Jul-18,6249
11-Jul-18,6377.8
10-Jul-18,6301.5
09-Jul-18,6666.7
08-Jul-18,6707
07-Jul-18,6761.7
06-Jul-18,6602.1
05-Jul-18,6540.2
04-Jul-18,6590
03-Jul-18,6500
02-Jul-18,6581.3
01-Jul-18,6349.7
30-Jun-18,6391.5
29-Jun-18,6208.1
28-Jun-18,5850
27-Jun-18,6133.09
26-Jun-18,6078.5
25-Jun-18,6246.6
24-Jun-18,6148.04
23-Jun-18,6152
22-Jun-18,6042.6
21-Jun-18,6713.5
20-Jun-18,6760.4
19-Jun-18,6737.5
18-Jun-18,6709.2
17-Jun-18,6435.7
16-Jun-18,6485.9
15-Jun-18,6385
14-Jun-18,6633.7
13-Jun-18,6295.2
12-Jun-18,6543.9
11-Jun-18,6873.3
10-Jun-18,6757.3
09-Jun-18,7498.6
08-Jun-18,7615.1
07-Jun-18,7688.9
06-Jun-18,7654
05-Jun-18,7621.7
04-Jun-18,7488.3
03-Jun-18,7718.02
02-Jun-18,7638.1
01-Jun-18,7521
31-May-18,7485.8
30-May-18,7375.12
29-May-18,7460
28-May-18,7097.9
27-May-18,7339.7
26-May-18,7330.3
25-May-18,7458
24-May-18,7576.7
23-May-18,7494.8
22-May-18,7977.3
21-May-18,8393.4
20-May-18,8523.7
19-May-18,8232.3
18-May-18,8239
17-May-18,8051.8
16-May-18,8336.1
15-May-18,8467.5
14-May-18,8670.8
13-May-18,8683.6
12-May-18,8462.7
11-May-18,8412.4
10-May-18,9018.7
09-May-18,9318.2
08-May-18,9184.7
07-May-18,9370
06-May-18,9658.7
05-May-18,9859.6
04-May-18,9702.8
03-May-18,9762.1
02-May-18,9236.4
01-May-18,9067
30-Apr-18,9240
29-Apr-18,9398.6
28-Apr-18,9345.3
27-Apr-18,8920.1
26-Apr-18,9279.3
25-Apr-18,8878.4
24-Apr-18,9644.4
23-Apr-18,8940
22-Apr-18,8800
21-Apr-18,8919.1
20-Apr-18,8866.1
19-Apr-18,8272.8
18-Apr-18,8166.3
17-Apr-18,7889.9
16-Apr-18,8056.2
15-Apr-18,8354.1
14-Apr-18,8002.9
13-Apr-18,7885.8
12-Apr-18,7912
11-Apr-18,6943.1
10-Apr-18,6839.3
09-Apr-18,6764.6
08-Apr-18,7023.9
07-Apr-18,6892.6
06-Apr-18,6610.2
05-Apr-18,6765
04-Apr-18,6785.9
03-Apr-18,7405.6
02-Apr-18,7052.7
01-Apr-18,6810
31-Mar-18,6925.3
30-Mar-18,6840.4
29-Mar-18,7094
28-Mar-18,7936.1
27-Mar-18,7784.5
26-Mar-18,8119.1
25-Mar-18,8445.1
24-Mar-18,8535
23-Mar-18,8908
22-Mar-18,8706.44
21-Mar-18,8900.1
20-Mar-18,8899.7
19-Mar-18,8600.1
18-Mar-18,8200.2
17-Mar-18,7851
16-Mar-18,8251
15-Mar-18,8252.9
14-Mar-18,8186.6
13-Mar-18,9135
12-Mar-18,9121
11-Mar-18,9528
10-Mar-18,8762
09-Mar-18,9217
08-Mar-18,9300
07-Mar-18,9902.9
06-Mar-18,10720
05-Mar-18,11416
04-Mar-18,11501
03-Mar-18,11440
02-Mar-18,11025
01-Mar-18,10925
28-Feb-18,10315
27-Feb-18,10569
26-Feb-18,10321
25-Feb-18,9557.4
24-Feb-18,9666.3
23-Feb-18,10145
22-Feb-18,9830
21-Feb-18,10455
20-Feb-18,11218
19-Feb-18,11173
18-Feb-18,10372
17-Feb-18,11053.46
16-Feb-18,10162
15-Feb-18,9996.9
14-Feb-18,9455.4
13-Feb-18,8515.9
12-Feb-18,8900.6
11-Feb-18,8069
10-Feb-18,8563.1
09-Feb-18,8683.2
08-Feb-18,8235.1
07-Feb-18,7587
06-Feb-18,7673.8
05-Feb-18,6949.9
04-Feb-18,8200
03-Feb-18,9219.4
02-Feb-18,8895.8
01-Feb-18,9181.1
31-Jan-18,10284
30-Jan-18,10175
29-Jan-18,11212
28-Jan-18,11839
27-Jan-18,11461
26-Jan-18,11070
25-Jan-18,11146
24-Jan-18,11414
23-Jan-18,10819
22-Jan-18,10771
21-Jan-18,11514
20-Jan-18,12728
19-Jan-18,11476
18-Jan-18,11045
17-Jan-18,11082
16-Jan-18,11072
15-Jan-18,13575
14-Jan-18,13558
13-Jan-18,14191
12-Jan-18,13783
11-Jan-18,13266
10-Jan-18,14896
09-Jan-18,14423
08-Jan-18,14930
07-Jan-18,16196
06-Jan-18,17161
05-Jan-18,16917
04-Jan-18,15160
03-Jan-18,15155
02-Jan-18,14709.82
01-Jan-18,13354
31-Dec-17,13800
30-Dec-17,12377
29-Dec-17,14317
28-Dec-17,14315
27-Dec-17,15374
26-Dec-17,15679
25-Dec-17,13623
24-Dec-17,13476
23-Dec-17,14035
22-Dec-17,13170
21-Dec-17,15666.83
20-Dec-17,16425
19-Dec-17,17345
18-Dec-17,18934
17-Dec-17,18971
16-Dec-17,19187
15-Dec-17,17522
14-Dec-17,16383
13-Dec-17,16181
12-Dec-17,16967
11-Dec-17,16754
10-Dec-17,14997
09-Dec-17,14660
08-Dec-17,15869
07-Dec-17,16601
06-Dec-17,13527
05-Dec-17,11595
04-Dec-17,11595
03-Dec-17,11157
02-Dec-17,10881
01-Dec-17,10869
30-Nov-17,9907
29-Nov-17,9749.4
28-Nov-17,9898
27-Nov-17,9728.8
26-Nov-17,9316
25-Nov-17,8766.2
24-Nov-17,8191.6
23-Nov-17,7977.1
22-Nov-17,8230.1
21-Nov-17,8097.3
20-Nov-17,8245.1
19-Nov-17,8054.2
18-Nov-17,7773.3
17-Nov-17,7677.9
16-Nov-17,7864.2
15-Nov-17,7278.3
14-Nov-17,6579.2
13-Nov-17,6474.6
12-Nov-17,5822.1
11-Nov-17,6300.7
10-Nov-17,6542.2
09-Nov-17,7126.2
08-Nov-17,7442.4
07-Nov-17,7103.3
06-Nov-17,6955
05-Nov-17,7382
04-Nov-17,7369
03-Nov-17,7278.4
02-Nov-17,7019.9
01-Nov-17,6727.3
31-Oct-17,6458.3
30-Oct-17,6125.3
29-Oct-17,6156
28-Oct-17,5720.6
27-Oct-17,5759.6
26-Oct-17,5890
25-Oct-17,5720
24-Oct-17,5509.5
23-Oct-17,5906.9
22-Oct-17,5980.5
21-Oct-17,6005.1
20-Oct-17,5984.5
19-Oct-17,5694
18-Oct-17,5565
17-Oct-17,5597.1
16-Oct-17,5764.4
15-Oct-17,5698.6
14-Oct-17,5835
13-Oct-17,5636.8
12-Oct-17,5428.5
11-Oct-17,4824.9
10-Oct-17,4777
09-Oct-17,4782.3
08-Oct-17,4613.1
07-Oct-17,4436
06-Oct-17,4371
05-Oct-17,4315.4
04-Oct-17,4215.1
03-Oct-17,4311.1
02-Oct-17,4400.1
01-Oct-17,4404.3
30-Sep-17,4367
29-Sep-17,4169.9
28-Sep-17,4190
27-Sep-17,4205.4
26-Sep-17,3879.1
25-Sep-17,3930
24-Sep-17,3652.8
23-Sep-17,3779.6
22-Sep-17,3598.5
21-Sep-17,3603.4
20-Sep-17,3873.2
19-Sep-17,3900
18-Sep-17,4084.1
17-Sep-17,3666.3
16-Sep-17,3685.4
15-Sep-17,3698
14-Sep-17,3238.1
13-Sep-17,3849.7
12-Sep-17,4142.9
11-Sep-17,4203
10-Sep-17,4232.1
09-Sep-17,4317.9
08-Sep-17,4305.8
07-Sep-17,4613.5
06-Sep-17,4589.1
05-Sep-17,4374.9
04-Sep-17,4200.4
03-Sep-17,4595
02-Sep-17,4534.4
01-Sep-17,4904.9
31-Aug-17,4718.2
30-Aug-17,4569
29-Aug-17,4587.1
28-Aug-17,4383.8
27-Aug-17,4331.8
26-Aug-17,4341.7
25-Aug-17,4351.5
24-Aug-17,4325.2
23-Aug-17,4129.1
22-Aug-17,4074
21-Aug-17,4002.5
20-Aug-17,4064.3
19-Aug-17,4145.1
18-Aug-17,4090.2
17-Aug-17,4260
16-Aug-17,4386.3
15-Aug-17,4151.9
14-Aug-17,4319.5
13-Aug-17,4053.3
12-Aug-17,3865.5
11-Aug-17,3644.1
10-Aug-17,3407.9
09-Aug-17,3339.9
08-Aug-17,3415
07-Aug-17,3396.7
06-Aug-17,3227.9
05-Aug-17,3256.4
04-Aug-17,2860
03-Aug-17,2790.3
02-Aug-17,2702
01-Aug-17,2731.2
31-Jul-17,2856
30-Jul-17,2749
29-Jul-17,2714.1
28-Jul-17,2784.8
27-Jul-17,2664.9
26-Jul-17,2525.7
25-Jul-17,2560.9
24-Jul-17,2769.7
23-Jul-17,2747.5
22-Jul-17,2845.7
21-Jul-17,2664
20-Jul-17,2856.3
19-Jul-17,2253.1
18-Jul-17,2302.1
17-Jul-17,2219
16-Jul-17,1924.9
15-Jul-17,1978.6
14-Jul-17,2205.1
13-Jul-17,2329
12-Jul-17,2374.4
11-Jul-17,2282.1
10-Jul-17,2318.3
09-Jul-17,2478
08-Jul-17,2542
07-Jul-17,2479.3
06-Jul-17,2593.1
